_c0,metro,price,way,views,provider,fee_percent,storey,minutes,storeys,living_area,kitchen_area,total_area
1001, Perovo ,29000,walk,5174,realtor                    ,40,2,15,5,17,7,31
1002, Nekrasovka ,40000,walk,69,realtor                    ,40,10,5,17,18,11,41
1003, Planernaia ,39000,walk,795,realtor                    ,50,8,10,9,18,7,33
1004, Planernaia ,35000,walk,687,realtor                    ,50,6,15,9,17,6,34
1005, Riazanskii prospekt ,40000,walk,437,realtor                    ,50,9,5,12,20,10,35
1006, VDNKh ,40000,transport,344,realtor                    ,50,10,5,16,19,10,35
1007, Medvedkovo ,32000,walk,445,realtor                    ,50,1,15,12,19,7,38
1008, Medvedkovo ,35000,walk,214,realtor                    ,50,9,10,14,18,10,39
1009, Khovrino ,38000,walk,224,realtor                    ,50,6,7,9,17,6,33
1010, Okskaia ,59999,walk,103,realtor                    ,99,3,7,33,17,5,26
1011, Vystavochnaia ,185000,walk,28,owner                 ,0,4,4,11,14,24,53
1012, Otradnoe ,38000,walk,283,owner                 ,0,7,5,12,19,10,39
