_c0,metro,price,way,views,provider,fee_percent,storey,minutes,storeys,living_area,kitchen_area,total_area
909, Sviblovo ,38000,walk,414,realtor                    ,50,3,15,5,37,37,37
910, Rimskaia ,55999,walk,360,realtor                    ,99,6,7,17,21,10,40
911, Perovo ,29000,walk,5174,realtor                    ,40,2,15,5,17,7,31
912, Nekrasovka ,40000,walk,69,realtor                    ,40,10,5,17,18,11,41
913, Planernaia ,39000,walk,795,realtor                    ,50,8,10,9,18,7,33
914, Planernaia ,35000,walk,687,realtor                    ,50,6,15,9,17,6,34
915, Riazanskii prospekt ,40000,walk,437,realtor                    ,50,9,5,12,20,10,35
916, VDNKh ,40000,transport,344,realtor                    ,50,10,5,16,19,10,35
917, Medvedkovo ,32000,walk,445,realtor                    ,50,1,15,12,19,7,38
918, Medvedkovo ,35000,walk,214,realtor                    ,50,9,10,14,18,10,39
919, Khovrino ,38000,walk,224,realtor                    ,50,6,7,9,17,6,33
920, Okskaia ,59999,walk,103,realtor                    ,99,3,7,33,17,5,26
921, Vystavochnaia ,185000,walk,28,owner                 ,0,4,4,11,14,24,53
922, Otradnoe ,38000,walk,283,owner                 ,0,7,5,12,19,10,39
923, Kuntcevskaia ,45000,walk,40,owner                 ,0,6,15,9,19,7,33
924, Shabolovskaia ,20000,walk,73,realtor                 ,50,5,10,8,20,10,40
925, Dobryninskaia ,22000,walk,56,realtor                 ,50,10,5,14,22,11,42
926, Paveletckaia ,20000,walk,38,realtor                 ,50,7,6,10,22,11,42
927, Altufevo ,37000,walk,21,realtor                 ,30,7,10,12,21,8,38
928, Tcaritcyno ,45000,transport,30,owner                 ,0,5,5,15,25,14,52
929, Shchelkovskaia ,47000,walk,25,realtor                 ,50,4,12,14,21,10,38
930, Skhodnenskaia ,28000,walk,66,realtor                 ,50,4,14,9,10,7,37
931, Solntcevo ,25000,walk,189,realtor                 ,0,6,5,23,20,10,36
932, Ulitca Starokachalovskaia ,25000,walk,173,realtor                 ,0,5,5,17,20,10,38
933, Zhulebino ,25000,walk,102,realtor                 ,0,5,5,12,20,10,35
934, Preobrazhenskaia ploshchad ,40000,walk,60,realtor                 ,30,3,17,9,20,8,35
935, Rasskazovka ,30000,walk,2728,owner                 ,0,12,10,17,22,8,33
936, Planernaia ,45000,walk,513,realtor                    ,50,7,10,12,19,8,38
937, VDNKh ,50000,walk,389,realtor                    ,50,16,10,16,18,8,41
938, Alekseevskaia ,50000,walk,483,realtor                    ,50,5,3,12,19,5,33
939, Sviblovo ,38000,walk,414,realtor                    ,50,3,15,5,37,37,37
940, Rimskaia ,55999,walk,360,realtor                    ,99,6,7,17,21,10,40
941, Perovo ,29000,walk,5174,realtor                    ,40,2,15,5,17,7,31
942, Nekrasovka ,40000,walk,69,realtor                    ,40,10,5,17,18,11,41
943, Planernaia ,39000,walk,795,realtor                    ,50,8,10,9,18,7,33
944, Planernaia ,35000,walk,687,realtor                    ,50,6,15,9,17,6,34
945, Riazanskii prospekt ,40000,walk,437,realtor                    ,50,9,5,12,20,10,35
946, VDNKh ,40000,transport,344,realtor                    ,50,10,5,16,19,10,35
947, Medvedkovo ,32000,walk,445,realtor                    ,50,1,15,12,19,7,38
948, Medvedkovo ,35000,walk,214,realtor                    ,50,9,10,14,18,10,39
949, Khovrino ,38000,walk,224,realtor                    ,50,6,7,9,17,6,33
950, Okskaia ,59999,walk,103,realtor                    ,99,3,7,33,17,5,26
951, Vystavochnaia ,185000,walk,28,owner                 ,0,4,4,11,14,24,53
952, Otradnoe ,38000,walk,283,owner                 ,0,7,5,12,19,10,39
953, Kuntcevskaia ,45000,walk,40,owner                 ,0,6,15,9,19,7,33
954, Shabolovskaia ,20000,walk,73,realtor                 ,50,5,10,8,20,10,40
955, Dobryninskaia ,22000,walk,56,realtor                 ,50,10,5,14,22,11,42
956, Paveletckaia ,20000,walk,38,realtor                 ,50,7,6,10,22,11,42
957, Altufevo ,37000,walk,21,realtor                 ,30,7,10,12,21,8,38
958, Tcaritcyno ,45000,transport,30,owner                 ,0,5,5,15,25,14,52
959, Shchelkovskaia ,47000,walk,25,realtor                 ,50,4,12,14,21,10,38
960, Skhodnenskaia ,28000,walk,66,realtor                 ,50,4,14,9,10,7,37
961, Solntcevo ,25000,walk,189,realtor                 ,0,6,5,23,20,10,36
962, Ulitca Starokachalovskaia ,25000,walk,173,realtor                 ,0,5,5,17,20,10,38
963, Zhulebino ,25000,walk,102,realtor                 ,0,5,5,12,20,10,35
964, Preobrazhenskaia ploshchad ,40000,walk,60,realtor                 ,30,3,17,9,20,8,35
965, Rasskazovka ,30000,walk,2728,owner                 ,0,12,10,17,22,8,33
966, Planernaia ,45000,walk,513,realtor                    ,50,7,10,12,19,8,38
967, VDNKh ,50000,walk,389,realtor                    ,50,16,10,16,18,8,41
968, Alekseevskaia ,50000,walk,483,realtor                    ,50,5,3,12,19,5,33
969, Sviblovo ,38000,walk,414,realtor                    ,50,3,15,5,37,37,37
970, Rimskaia ,55999,walk,360,realtor                    ,99,6,7,17,21,10,40
971, Perovo ,29000,walk,5174,realtor                    ,40,2,15,5,17,7,31
972, Nekrasovka ,40000,walk,69,realtor                    ,40,10,5,17,18,11,41
973, Planernaia ,39000,walk,795,realtor                    ,50,8,10,9,18,7,33
974, Planernaia ,35000,walk,687,realtor                    ,50,6,15,9,17,6,34
975, Riazanskii prospekt ,40000,walk,437,realtor                    ,50,9,5,12,20,10,35
976, VDNKh ,40000,transport,344,realtor                    ,50,10,5,16,19,10,35
977, Medvedkovo ,32000,walk,445,realtor                    ,50,1,15,12,19,7,38
978, Medvedkovo ,35000,walk,214,realtor                    ,50,9,10,14,18,10,39
979, Khovrino ,38000,walk,224,realtor                    ,50,6,7,9,17,6,33
980, Okskaia ,59999,walk,103,realtor                    ,99,3,7,33,17,5,26
981, Vystavochnaia ,185000,walk,28,owner                 ,0,4,4,11,14,24,53
982, Otradnoe ,38000,walk,283,owner                 ,0,7,5,12,19,10,39
983, Kuntcevskaia ,45000,walk,40,owner                 ,0,6,15,9,19,7,33
984, Shabolovskaia ,20000,walk,73,realtor                 ,50,5,10,8,20,10,40
985, Dobryninskaia ,22000,walk,56,realtor                 ,50,10,5,14,22,11,42
986, Paveletckaia ,20000,walk,38,realtor                 ,50,7,6,10,22,11,42
987, Altufevo ,37000,walk,21,realtor                 ,30,7,10,12,21,8,38
988, Tcaritcyno ,45000,transport,30,owner                 ,0,5,5,15,25,14,52
989, Shchelkovskaia ,47000,walk,25,realtor                 ,50,4,12,14,21,10,38
990, Skhodnenskaia ,28000,walk,66,realtor                 ,50,4,14,9,10,7,37
991, Solntcevo ,25000,walk,189,realtor                 ,0,6,5,23,20,10,36
992, Ulitca Starokachalovskaia ,25000,walk,173,realtor                 ,0,5,5,17,20,10,38
993, Zhulebino ,25000,walk,102,realtor                 ,0,5,5,12,20,10,35
994, Preobrazhenskaia ploshchad ,40000,walk,60,realtor                 ,30,3,17,9,20,8,35
995, Rasskazovka ,30000,walk,2728,owner                 ,0,12,10,17,22,8,33
996, Planernaia ,45000,walk,513,realtor                    ,50,7,10,12,19,8,38
997, VDNKh ,50000,walk,389,realtor                    ,50,16,10,16,18,8,41
998, Alekseevskaia ,50000,walk,483,realtor                    ,50,5,3,12,19,5,33
999, Sviblovo ,38000,walk,414,realtor                    ,50,3,15,5,37,37,37
1000, Rimskaia ,55999,walk,360,realtor                    ,99,6,7,17,21,10,40
